w_geocode,h_geocode,count
39049008822,39049006100,17
39049007043,39049002300,8
39049007550,39049002770,7
39045032701,39049009250,5
39049008110,39049001810,4
39049008340,39049009323,1
39049004200,39097040400,3
39049008500,39049009410,10
39049007532,39049009312,3
39049980000,39049009752,31
39049005700,39049006386,5
39049007394,39049003800,3
39049001121,39049008330,13
39049007730,39049006353,2
39049007113,39049007532,9
39049008720,39049006945,8
39049009495,39049009326,42
39049000310,39049008825,2
39049006323,39049007520,1
39049007511,39049008321,1
39049006931,39049004810,2
39045032701,39049007710,4
39049000310,39049007811,3
39049006410,39049001110,3
39041012400,39049008241,18
39049005100,39049006387,3
39049007048,39049009520,8
39049000600,39049006000,1
39049006822,39049007721,1
39049007820,39049007427,6
39049003200,39049006352,8
39049007922,39049001901,12
39049980000,39041011540,36
39049006944,39049005900,3
39049008730,39049002770,16
39049007427,39049005820,1
39049006396,39049008821,4
39049001820,39129021401,2
39049002200,39049002800,5
39049005700,39129021401,6
39049007048,39049008720,4
39049004610,39049007812,2
39049007041,39097040400,4
39097040400,39049006391,3
39049000120,39049007424,1
39041011421,39049001700,1
39049002300,39049005100,5
39049007114,39129021401,12
39049007722,39049007048,3
39049007112,39049006000,1
39049006396,39049009373,6
39049006931,39049008500,7
39049008710,39049008825,3
39049007112,39049009350,1
39049009752,39049006000,4
39049010100,39049000920,12
39049002600,39049006386,1
39049007511,39049001400,7
39049010602,39049010300,4
39049005410,39097041100,2
39049008360,39049000820,2
39049009752,39049007199,1
39049008400,39049004610,7
39049006944,39049004810,3
39049007043,39049010000,24
39049009381,39049000500,1
39159050601,39049001121,2
39049007048,39049007922,7
39049009311,39049006384,1
39049007811,39049010100,4
39097040102,39049002300,1
39049009520,39049006410,1
39049007830,39049006391,6
39049002730,39049008110,2
39049007820,39049008813,2
39049010700,39041012400,2
39049007427,39049007721,17
39049006931,39049005300,2
39049007550,39049009381,17
39049008380,39049000310,2
39049000210,39049005100,1
39049007922,39049010601,96
39049001110,39049007112,1
39041011520,39049008120,4
39049005300,39049006000,11
39049010300,39049007534,3
39049009381,39049000330,3
39049006321,39049009420,2
39049007941,39049009312,3
39049007710,39049008164,3
39049008312,39049000210,1
39049005300,39049007394,23
39049002780,39049006100,3
39049001400,39049004620,6
39049007043,39049007533,8
39049007730,39049000220,1
39049007531,39049006351,2
39041011421,39049006391,10
39097040500,39097040500,118
39045033000,39049005200,1
39049008400,39045033000,3
39049006384,39049000720,1
39049000420,39041011760,2
39049001121,39049002600,4
39049003200,39049008210,3
39049009334,39049004900,3
39049007120,39049000420,3
39049002300,39049008811,6
39049007424,39049007922,6
39097040500,39041011760,2
39049000120,39049008132,8
39041011540,39049002000,2
39049010700,39049002510,1
39049000110,39049000220,15
39049006100,39049006384,1
39049001122,39049000210,13
39049008120,39049002780,2
39049005100,39159050601,5
39049003700,39097040102,2
39049005300,39049008500,66
39049006945,39049009322,1
39049006100,39049009900,1
39041011540,39049001820,1
39049007041,39049009337,1
39049009390,39049008380,2
39049009900,39049007812,19
39041011561,39049008710,2
39049007427,39049008822,5
39049006950,39049004700,1
39049000410,39049000600,8
39049004200,39049008242,3
39049001122,39129021401,2
39049007550,39049001500,11
39049007812,39049002520,11
39049007199,39049002710,2
39049008110,39049007113,5
39049003200,39049007922,8
39049007047,39049007812,7
39049006372,39049008312,3
39049006924,39049000420,2
39049009323,39049008720,1
39049008210,39049005300,13
39049002520,39049007512,1
39049009323,39049009410,1
39049009350,39049007048,1
39041011561,39049001110,4
39049006722,39049002760,6
39049008730,39049009520,16
39049002770,39049008900,1
39049005100,39049007722,6
39049008730,39049001500,5
39049008210,39049006351,22
39049008110,39049009000,2
39097040400,39049007115,3
39049006821,39049008312,6
39049005300,39097040101,4
39049000500,39049007520,2
39049004900,39049009325,9
39049009900,39049000820,16
39049000420,39049008163,1
39049007830,39049003200,12
39049007922,39049007205,9
39049009337,39049007740,1
39049007394,39049007830,1
39049002800,39049006386,1
39049001902,39049002710,4
39049004200,39049002780,2
39049002800,39049006351,3
39097040102,39049009372,1
39049007115,39049004900,1
39049009220,39049006395,4
39049004500,39049007550,1
39049000220,39049007205,2
39049006372,39049009390,5
39049007112,39049007120,4
39049000310,39049008312,4
39049001400,39049000730,13
39049001700,39041011540,4
39049008110,39049006395,4
39049002760,39049006351,3
39049006353,39049002770,3
39049000310,39049000220,5
39049007922,39049009752,42
39049010100,39041011421,68
39049005100,39049004620,2
39049007730,39049006810,1
39049000720,39049007721,6
39049008210,39049007511,7
39049007113,39049006323,3
39049007812,39049007114,43
39049008400,39041011760,12
39049005300,39041012400,46
39049003700,39049008400,3
39049009334,39049005500,1
39049000420,39049000710,7
39049006395,39049003200,2
39049009495,39049010601,17
39049008120,39041011760,5
39049004620,39049001700,2
39049008210,39049008730,8
39049002600,39049005900,11
39049009381,39049007722,4
39049006600,39049002200,1
39049001500,39049005610,1
39049006923,39049008322,5
39049007113,39049008822,5
39049008822,39049001500,4
39049007112,39049007205,1
39049001820,39049007041,2
39049002900,39049001700,1
39049000500,39049000110,2
39049008312,39049006500,2
39049001902,39049009373,4
39049008900,39049008340,1
39049007534,39049010601,1
39049006921,39097041100,4
39049004500,39049000310,6
39049009325,39049001901,2
39049001820,39049008311,3
39049009390,39049000820,1
39049000220,39049002900,1
39049002800,39049008900,5
39049008120,39049005300,1
39049009230,39049010000,6
39049008330,39049002770,1
39049009340,39049007113,3
39049000820,39049005100,2
