w_geocode,h_geocode,count
8031005102,8005005553,2
8031000501,8005007202,2
8031004101,8031000501,5
8031004303,8001007900,1
8005006704,8031000600,6
8005007202,8031000301,1
8031001500,8031001402,16
8059011904,8031007037,3
8031980100,8031004005,1
8031006701,8031003004,9
8031006813,8031004801,3
8005004952,8031004306,38
8031015500,8031003902,8
8031002300,8031000301,1
8059009845,8059011904,4
8031003402,8031003002,9
8031006812,8031003701,1
8031004103,8031004202,3
8031004601,8031001402,5
8005005551,8031002300,12
8001009751,8031006814,1
8031000201,8031005001,3
8031001800,8001008200,13
8059011904,8031007006,2
8031015500,8031006810,10
8005005553,8031003003,1
8031000600,8031003901,7
8031004003,8031004801,1
8031000201,8031005300,4
8031001101,8031004306,1
8031000102,8001008901,2
8001015000,8031012001,4
8031000600,8059012041,9
8031006813,8005005619,3
8031003902,8031003002,5
8031005502,8031004700,6
8005005619,8031006813,1
8031011903,8031001403,1
8001008309,8031003004,7
8031001901,8059011951,17
8031005300,8031015600,13
8031000303,8031003702,9
8031000201,8005005952,3
8031006812,8031005104,4
8031003300,8031001301,1
8031004303,8031006701,2
8005004951,8031002902,1
8031000600,8031000202,17
8031000600,8031004603,6
8031015400,8031003603,9
8031015500,8031000905,1
8005006854,8031004602,2
8031012010,8031005300,6
8031001500,8001008308,10
8031000600,8031003601,7
8031001403,8031006701,7
8031001102,8001008709,3
8001009553,8031003601,23
8031000302,8001009751,3
8031003202,8031004700,2
8031003603,8031003402,2
8031001401,8031002901,15
8031000201,8059012050,2
8005006712,8005005553,27
8031011903,8031006812,1
8031006813,8031004602,1
8005006712,8031004103,56
8031015500,8031008391,7
8031003602,8031001302,2
8005006712,8031002801,46
8031007037,8031003202,4
8031015300,8031007037,2
8031004801,8005005552,5
8031007013,8031015600,1
8005006854,8031004302,5
8031015500,8031004504,3
8031002802,8001008308,1
8059012054,8005006712,2
8031001800,8031001000,36
8031006814,8031003300,4
8031006804,8031004006,44
8031004004,8031003602,1
8031006701,8031002902,9
8031004602,8031000905,1
8031000401,8031002602,2
8031003902,8031015300,18
8059009845,8031001500,2
8031001500,8031002300,30
8031008312,8031004503,1
8005004952,8031003702,31
8005007201,8001015000,5
8031002000,8031000302,12
8031002802,8031004403,9
8031003004,8031000301,17
8031980100,8031004302,7
8001008309,8031006813,17
8031005503,8031003002,1
8059012054,8031006813,2
8059012054,8031004503,8
8031980100,8001008000,59
8031005104,8031002300,5
8001015000,8031004700,21
8031001403,8031004603,14
8031002802,8031001800,13
8031003603,8031008386,3
8059011904,8005005552,9
8005005952,8031007013,2
8001008901,8031000501,2
8031004102,8031008387,47
8001009553,8005004952,3
8031004506,8031003701,6
8001008309,8001009751,6
8031004404,8001008200,4
8031003202,8031002801,7
8005006854,8031005104,4
8031001403,8031004506,14
8031004103,8031004603,1
8031980100,8001015000,15
8031000303,8031001302,2
8031003702,8005007202,2
8059012050,8031000902,2
8005006854,8031004006,8
8031011902,8031005200,1
8005007202,8031007037,2
8031015500,8031004103,2
8031015300,8031012010,3
8031004303,8031005102,3
8031001402,8059011951,3
8031003702,8031004303,2
8031002901,8031004801,9
8031004102,8031004003,7
8031005502,8031012010,10
8005004951,8031003902,1
8001008901,8031002300,6
8005006854,8031008391,10
8001008401,8031008390,5
8031004601,8031000902,1
8001008200,8031003003,2
8031001101,8031000102,1
8031004102,8031000903,9
8059012054,8031003401,1
8031002402,8031012001,1
8031006804,8031000202,15
8031006813,8031002901,2
8031003902,8031005200,17
8031005200,8031008387,11
8031003300,8005005619,2
8031007037,8031015300,2
8031005502,8031001800,2
