CT,Agriculture,Commercial,Industrial,Mixed_Use,Office,Parks/Open Space,Residential,Institutional
39041011421,0,0,0,0,0,1.434850849,1.004317962,2.624362842
39041011423,0,0,0,0,0,4.304552546,0,0
39041011520,0,0,0,0,0,4.304552535,0,0
39041011540,0,0,0,3.856042955,0,1.076138133,0.753238469,0
39041011561,0,1.062171523,1.342749064,0.642673826,2.605981441,0.358712711,1.255397448,1.312181416
39041011760,0,0,0,0,0,4.304552509,0,0
39041012400,0,1.960932,0,1.186474729,2.405521279,0.331119418,1.158828389,1.211244358
39045030602,0,0,0,0,0,4.304109448,0,0
39045032701,0,0,0,0,5.211426117,2.152054608,1.004214526,0
39045032703,0,0,0,0,4.466936672,0.614872745,1.291132962,2.249222191
39045032704,0,0,4.603236953,0,0,1.844618236,0.860755308,0
39045033000,0,0,0,0,0,2.152054592,1.506321778,0
39049000110,0,2.123908452,0,1.285084698,0,1.434557305,0.502056249,1.311912973
39049000120,0,1.415938968,0,0.856723132,3.473931087,0.956371537,1.004112497,0.874608649
39049000210,0,1.820492955,0,1.101501167,0,1.229620544,0.860667853,1.124496831
39049000220,0,1.592931335,0,0.963813521,0,1.075917976,1.129626556,0.983934727
39049000310,0,0,0,1.542101629,0,0,1.204934991,3.14859112
39049000320,0,3.185862661,0,1.927627036,0,0,0.753084369,1.96786945
39049000330,0,1.820492949,0,1.101501163,0,0.61481027,1.291001775,1.124496828
39049000410,0,1.158495511,0,1.401910569,0,1.564971594,0.821546583,0.715588889
39049000420,0,3.823035184,0,0.771050813,3.126537955,0.430367188,0.903701241,0.787147778
39049000500,0,1.592931323,0,0.963813514,0,1.075917968,1.129626548,0.98393472
39049000600,0,0,0,0.593116007,2.405029185,1.324206727,1.158591329,1.210996576
39049000710,0,0,0,1.285084678,0,0.717278642,1.004112482,2.623825907
39049000720,0,1.274345052,0,2.31315242,0,0,0.903701234,2.361443315
39049000730,0,1.061954209,1.342474346,1.927627016,0,0.717278641,1.004112482,0.655956476
39049000810,0,0,0,1.54210161,0,0.860734368,1.204934975,1.57429554
39049000820,0,0,1.464517465,0.700955277,0,0.782485789,1.095395432,2.146766645
39049000910,0,0,0,2.965580011,0,0.331051679,0.926873056,1.816494849
39049000920,15.77422517,0.637172522,0,1.927627007,0,1.291101548,0.753084357,0.393573884
39049001000,0,0,0,2.570169337,0,0.717278636,1.004112475,1.311912944
39049001110,0,0,0,2.203002283,0,1.229620516,1.291001749,0
39049001121,0,0,0,2.570169329,0,0,1.004112471,2.623825879
39049001122,0,0,0,0.700955272,2.84230718,0.782485783,1.095395423,2.146766628
39049001200,0,0,0,2.570169324,0,0,1.506168704,1.311912937
39049001301,0,0,0,1.54210159,0,0,1.80740244,1.57429552
39049001302,0,0,0,3.084203181,0,0,1.20493496,1.57429552
39049001400,8.763458318,0.707969461,3.579931529,2.141807759,0,0,0.836760387,0.87460862
39049001500,0,0.707969459,2.68494864,1.285084652,1.736965482,0.956371503,0.669408308,0.874608618
39049001600,0,0,0,1.542101578,0,0,1.807402426,1.574295508
39049001700,0,1.592931274,0,1.927626968,0,0.537958968,1.129626514,0.98393469
39049001810,0,0,0,2.570169284,0,0,1.506168681,1.311912916
39049001820,0,0,1.610969171,1.54210157,0,0.860734345,1.204934944,0.78714775
39049001901,0,0.980265395,2.478414104,0.593115987,4.810058209,0.331051671,1.15859129,0.605498268
39049001902,0,0,0,1.927626958,0,0,1.506168677,1.96786937
39049002000,0,3.185862524,0,0,0,1.075917927,1.506168673,0
39049002200,0,1.820492862,2.301384507,1.101501111,0,0,1.291001713,1.124496774
39049002300,0,1.59293125,3.020567158,0.963813469,0,0.537958959,0.564813248,1.96786935
39049002510,0,0.980265379,3.717621097,0,0,0.993154996,0.463436509,2.421993033
39049002520,0,0,0,0,0,0,1.506168653,3.935738677
39049002600,0,0.796465619,2.013711423,0.481906731,0,0.537958955,1.129626488,1.967869335
39049002710,0,0,4.027422835,1.927626918,0,0,0,3.935738658
39049002730,0,6.37172493,8.054845666,0,0,0,0,0
39049002760,0,1.820492836,0,1.101501095,0,0.614810232,1.291001695,1.124496758
39049002770,0,2.548689969,3.221938263,0,0,0,1.204934915,1.574295461
39049002780,0,2.548689969,0,0,0,0.860734324,1.204934915,1.57429546
39049002800,0,0,0,2.570169218,0,0,1.004112428,2.623825766
39049002900,0,0,8.054845631,3.855253818,0,0,0,0
39049003200,0,4.247816569,0,0,0,1.434557192,1.004112418,0
39049003600,0,0,0,7.710507498,0,0,0,0
39049003700,0,0,8.054845466,3.855253739,0,0,0,0
39049003800,0,0,0,7.710507458,0,0,0,0
39049004001,0,0,0,7.710507418,0,0,0,0
39049004200,0,0,0,3.85525369,0,1.075917866,0.753084294,0
39049004302,0,1.820492764,2.301384383,2.203002103,0,0,0.860667763,1.124496714
39049004500,8.763457622,0,0.894982811,1.713446071,0,0.956371429,0.502056192,2.186521377
39049004610,0,0,0,3.212711374,0,1.075917855,0.502056191,1.311912822
39049004620,0,0,0,3.426892132,0,0.956371426,0.669408254,0.874608548
39049004700,13.14518637,0,0,4.497795914,0,0.358639284,0.50205619,0.65595641
39049004810,0,0,0,2.891440222,0,0,1.506168565,0.983934612
39049004820,0,0,0,2.891440221,3.908172003,0.537958925,0.376542141,1.967869223
39049004900,8.763457533,0.707969397,0,3.426892107,1.736965331,0.717278565,0.334704125,0.874608542
39049005001,0,0,0,3.084202888,0,0,1.204934846,1.574295371
39049005002,0,2.123908186,2.684948399,1.285084537,0,0.717278563,0.502056186,1.311912809
39049005100,0,2.123908181,4.027422588,0.642542267,2.605447983,0.717278561,0.502056185,0.655956403
39049005200,0,2.123908176,0,1.28508453,0,0,1.004112367,2.623825605
39049005300,0,0,0,3.084202865,0,0.860734269,0.602467418,1.574295359
39049005410,0,0,5.369896742,2.570169047,0,1.434557111,0,0
39049005420,0,2.123908164,0,1.285084523,0,0.717278555,0.50205618,2.62382559
39049005500,0,2.548689791,0,1.542101424,0,0.860734264,0.602467415,1.574295351
39049005610,0,2.123908153,0,2.570169034,0,0.717278552,0.502056178,1.311912789
39049005620,0,2.123908153,2.684948357,1.285084516,0,0.717278551,0.502056178,1.311912788
39049005700,0,2.548689778,0,1.542101417,0,0.86073426,0.602467412,1.574295343
39049005810,0,0,2.684948343,1.28508451,0,1.434557096,0.502056175,1.311912782
39049005820,0,0,0,2.57016902,0,0,1.004112351,2.623825563
39049005900,0,3.640985378,2.301384289,1.101501006,0,0.614810183,0.430333864,1.124496668
39049006000,0,1.061954066,2.68494833,1.285084504,0,0.358639272,1.004112346,1.311912776
39049006100,0,0,3.221937988,1.542101401,0,0.860734251,0.602467406,1.574295327
39049006239,0,5.097379486,0,0,6.253074977,0.860734248,0.602467404,0
39049006240,0,0.849563248,0,0.514033798,0,1.147645664,1.405757276,1.049530214
39049006241,0,2.831877492,0,0,3.473930543,0.478185693,1.00411234,1.749217023
39049006301,0,0,0,0,3.473930537,0.956371385,1.673520564,0.87460851
39049006302,0,0,0,1.927626741,0,0.537958904,1.506168507,0.983934574
39049006310,0,0,0,0,0,4.303671232,0,0
39049006321,0,0,0,1.542101392,0,0,1.807402208,1.574295318
39049006323,0,0,0,0,0,0,1.506168507,3.935738294
39049006330,0,0,0,0,0,4.30367123,0,0
39049006351,0,1.274344868,0,0.771050695,3.12653748,0.860734246,1.204934804,0.787147658
39049006352,0,0.980265283,1.239206911,1.186231839,4.810057661,0,1.158591158,1.210996397
39049006353,0,1.061954056,0,0.642542246,5.210895799,0.358639269,1.506168505,0.655956382
39049006372,0,1.274344867,1.610968983,0.771050695,0,0.860734245,1.506168505,0
39049006384,0,1.592931083,2.013711228,0,0,0.537958903,1.506168504,0.983934572
39049006386,0,1.158495333,0,1.401910354,2.842306797,0.782485677,1.095395276,0.71558878
39049006387,0,0,0,1.401910354,2.842306797,1.173728516,1.095395276,0.71558878
39049006391,0,0,0,0.700955177,2.842306797,1.564971354,0.821546457,1.431177559
39049006392,0,0,0,1.542101389,0,0.860734245,1.204934803,1.574295315
39049006393,0,1.592931083,0,0,0,1.075917806,1.506168504,0.983934572
39049006394,0,0,0,0,0,0,3.012337008,0
39049006395,0,1.592931083,0,0.963813368,3.908171845,0.537958903,1.129626378,0.983934572
39049006396,0,1.061954055,1.342474152,1.285084491,2.605447897,0.358639269,1.25514042,0.655956381
39049006397,0,1.820492666,0,0,4.466482109,0.614810175,1.291001575,1.124496653
39049006410,0,0,0,0,0,1.075917805,2.259252755,0
39049006430,0,0,0,3.855253469,0,0,0,3.935738283
39049006500,0,0,0,1.285084487,0,1.43455707,1.004112333,1.311912759
