CT,Agriculture,Commercial,Mixed_Use,Office,Residential,Industrial,Parks/Open Space,Institutional
8001007900,0,0,0,0,0,0,6.523644623,0
8001008000,0,0,0,0,0,0,6.523644541,0
8001008100,0,0,0,0,0,0,6.52364446,0
8001008200,0,0,0,0,0,0,6.523644378,0
8001008308,0,0,0,0,1.098990296,0,1.304728859,0
8001008309,25.78613088,0,0,0,1.206208857,0,0.477339826,0
8001008354,124.3801581,2.29981653,0,0,0.565656758,0,1.918718868,0
8001008401,0,0,0,0,0,4.332288817,5.591695038,0
8001008553,0,0,0,0,0,6.384425501,5.15024533,0
8001008709,0,0,0,0,0,5.054336763,5.436369964,0
8001008901,0,0,0,0,0,9.097805932,4.56655066,0
8001009553,0,0,0,0,0,10.10867243,4.349095514,0
8001009751,0,0,47.57985519,0,0,0,0,18.8946622
8001009752,0,0,19.03194218,0,0.549495047,0,2.60945724,0
8001015000,0,0,0,0,0.152637413,10.10866555,3.624243796,0
8001988700,0,0,0,0,0.137356957,3.032230654,5.218276017,0
8005004951,0,7.815472454,0,0,1.098441604,0,0,0
8005004952,0,7.104974961,0,2.521084418,0.686526003,0,1.77828743,0
8005005551,0,0,0,0,0.228841984,10.10362631,3.260193374,0
8005005552,0,0,0,0,0,0,0,37.77046149
8005005553,0,0,0,0,1.300786013,0,0.343178251,0
8005005619,0,0,0,0,1.313353984,1.317864296,0,0
8005005701,0,0,0,0,0,10.10362612,4.346924419,0
8005005952,0,0,0,0,1.373051835,0,0,0
8005006704,0,0,0,4.26644967,1.056193619,0,1.00313628,0
8005006712,0,0,0,0,0,0,6.520385809,0
8005006854,0,0,0,0,0.457683893,0,4.346923798,0
8005007201,0,0,0,0,0,0,6.52038541,0
8005007202,0,0,0,0,0,0,2.173461795,25.18030252
8005015100,0,0,0,1.540660774,1.04885784,0,1.177290651,1.049178246
8005086801,0,7.81539253,0,0,0.549215185,6.062114252,0,7.554015642
8005086802,0,0,0,0,1.373037967,0,0,0
8005087200,0,1.447294842,0,2.054195847,0.966211855,1.122613695,1.207466711,0
8005087302,0,0,0,0,1.029778411,0,1.630080042,0
8005980000,0,9.768150752,0,0,0,0,4.889694838,0
8031000102,0,0.485608033,0.248830333,0.072551616,1.303949012,0.039649305,0.179114062,0.074110646
8031000201,0,0.416586883,0.12674375,0.036954755,1.301823964,0.363522635,0.143366509,0.075497756
8031000202,0,0.567639386,0.131581331,0.498748292,1.22044469,1.069293012,0.266105216,0.261264436
8031000301,0,1.307988336,0.868247452,0.313430573,1.275496929,0.131760875,0.070860023,0.164187554
8031000302,0,0.530100631,0.112194503,0.196275729,1.296533006,0.017877379,0.192286437,0.155939321
8031000303,0,0.792427794,0.840727172,0.317228773,1.287219362,0.031520891,0.115271557,0.216030377
8031000401,0,0.577049981,0.546197915,0.136504524,1.296516326,0.099465902,0.155126885,0.09295854
8031000403,0,0.491220213,0.632966744,0.041012125,1.274185848,0.201717299,0.250714124,0.139644686
8031000404,0,1.304886892,3.176025181,1.666864155,1.12789771,0.202430623,0.413689606,0.315311591
8031000501,0,0.58572741,0,0.237526622,1.306865879,0,0.153581302,0.080876929
8031000503,0,0.129190307,0,0,1.354989587,0,0.043112977,0
8031000504,0,0.241764055,0.196146975,0.266889842,1.270445374,0.125018349,0.336169728,0.10385713
8031000600,0,0.6696425,1.086582782,0.950446863,1.160767441,0.230852101,0.602130168,0.215749024
8031000703,0,1.339833413,0.465869035,0.135833698,1.133220494,0,0.7345625,0.647512106
8031000704,0,0.956688098,0.554411365,0.06466005,1.234147851,0.070673131,0.39527792,0.132098965
8031000705,0,0.701028052,0.533207804,0.124374198,1.230053345,0.101955339,0.416714317,0.296442563
8031000706,0,0.422068258,0.440267879,0.342317779,1.160985962,0.280613945,0.734438901,0.291394767
8031000800,0,2.82058033,0.32691155,2.096991601,0.174615443,8.334556358,3.025527431,0.649106951
8031000902,0,0.258523474,0.052435999,0.183465673,1.293667162,0.050131801,0.230063046,0.270700559
8031000903,0,0.944390739,0.102159834,0.148934089,1.229239607,0.227898009,0.378190924,0.304268902
8031000904,0,0.240685104,0.097635772,0.113870891,1.260077353,0,0.4417637,0.077545209
8031000905,0,0.594430953,0.152296164,0.177620296,1.255381341,0.218405551,0.328879286,0.181437121
8031001000,0,1.885209972,0.148016125,0.733671733,0.960482538,4.339694737,0.578390345,0.08816908
8031001101,0,0.7161549,0.290513781,0.508231764,1.210637458,1.080129517,0.272186434,0.269190408
8031001102,0.75396051,0.947981089,1.900158595,1.068487291,1.130546185,0.302776476,0.586191405,0.323391847
8031001301,0,0.985760721,0,0.226885031,1.283420517,0.08266146,0.137809644,0.334765135
8031001302,0,0.48050415,0.219285282,0.46887241,1.168117527,2.608966605,0.225495477,0.08708142
8031001401,0,0.568445428,0.120310118,0.561262123,1.175821348,2.415487531,0.210319361,0.095553807
8031001402,0,0.099533725,0.080753293,0.282543402,1.29749579,0,0.238048614,0.256546513
8031001403,0,2.312707808,1.629449569,1.03658101,0.833995145,5.003989123,0.817487646,0.147063286
8031001500,0,0.792307666,0.746490869,0.725516032,0.824397371,3.80633249,1.458499974,0.2223319
8031001601,0.900241976,1.864315025,1.944704379,1.795559058,0.713547439,5.474449496,1.233196814,0.193067688
8031001602,0,1.180329304,1.723715188,2.010338861,0.406434921,3.112830208,3.308724623,0.228170907
8031001603,0,3.499491989,3.209521828,3.959163463,0.775187776,2.360372168,0.956274346,0.490210926
8031001703,0,0,2.130434486,0.621172115,0.907279041,0,1.971691818,0
8031001704,0,9.154351138,14.41724905,19.36224971,0.113525034,0.139229326,1.078221634,0.346988017
8031001705,0,1.217214586,17.77581275,5.758783172,0.099794287,4.091311703,2.978836846,0.392168756
8031001706,0,4.946141803,12.03864565,20.62192822,0.043447853,0,1.960100438,1.493976178
8031001707,0,8.503358234,7.343997787,8.954502266,0.03855232,0.851063753,2.7919444,2.121025316
8031001800,0,2.716238942,3.305590395,3.23841193,0.927675276,1.432683331,0.543872829,1.05015898
8031001901,0,0.732483108,1.153592581,1.590035671,0.666136313,5.280549216,1.768609451,0.249877419
8031002000,0,4.678782628,5.409256141,11.9533657,0.398663392,1.633122282,1.346697692,2.035037735
8031002101,0,0.967101951,0.811680927,1.845966026,1.162378803,0.724278547,0.333867128,0.322330466
8031002102,0,1.888742752,0.433688572,1.618571021,0.79887599,4.008097416,1.296288254,0.068889651
8031002300,0,0.17168423,0.365636498,0.091379057,1.293955962,0.133169181,0.211271359,0.290399328
8031002402,0,0.389508636,0.316014391,0.552843138,1.256837659,0.151063804,0.281635459,0.376481964
8031002404,0,2.029503896,1.899886295,0.886321656,1.12999236,0.423826301,0.403762874,0.377236433
8031002405,0,1.106109718,3.461415567,1.682078484,0.982732183,0.857968868,0.909635518,0.687289584
8031002602,0,2.529276788,3.078062434,10.59017672,0.813165974,0.098093369,0.675249838,0.366703212
8031002603,0,5.013477335,7.509253422,9.85264971,0.352314729,0,2.059177719,1.49101762
8031002604,0,1.327870307,6.463931176,15.7057705,0.373256512,0,1.772530823,2.566922399
8031002704,0,2.434428876,3.555162117,6.219485051,0.735626368,0.188829748,1.177994429,2.353012179
8031002705,0,2.99622016,1.988901887,5.025846513,0.985780008,0.21127804,0.545394094,0
8031002706,0,4.805625819,4.309287373,9.333714951,0.6398683,0,1.139484085,0.733406375
8031002707,0,0.726695171,0.707494991,0.825138972,1.261365589,0,0.169757303,0.421435023
8031002708,0,1.867507065,1.62336173,0.378659665,1.08738654,0.413873416,0.71224982,0.386796538
8031002709,0,0.785299626,0,0,1.313421424,0.121825642,0.104827089,0
8031002801,0,1.31652097,0.441978224,1.224244639,1.248973686,0.035213002,0.166648196,0
8031002802,0.488535724,1.98728885,1.143280303,0.769262224,1.198483469,0.112106709,0.235131637,0.244468777
8031002804,0,0.23464373,0.571110338,0.999114046,1.253182481,0,0.352370574,0
8031002805,0,0.255694918,0.207449301,0.362916679,1.305717137,0,0.184881034,0.082381176
8031002901,0,1.278180257,0.818690202,0.668376807,1.231510072,0.208723727,0.213275148,0.260091155
8031002902,0,0.192086445,0.103895107,0.181756623,1.343859747,0.082774681,0.028489994,0.061887456
8031003002,0,1.058447298,0.601114373,0.400610949,1.259515273,0.218933039,0.123627596,0.477422728
8031003003,0,0.972613625,0,0,1.275847805,0,0.193200932,0.492425835
8031003004,0,0.418612105,0,0.141464477,1.285958404,0.015462013,0.216199158,0.500948331
8031003005,0,2.275246436,1.157158204,0.722985755,1.188433058,0.237066101,0.243652147,0.098469566
8031003006,0,0.896815091,0.35396757,0.550434966,1.286848411,0.094003614,0.064709691,0.374842017
8031003101,0,0.1357173,0.165164291,0.674198891,1.27323381,0.157906406,0.158519008,0.852659438
8031003102,0,2.554945021,1.877313222,6.773696244,0.953621057,0.261744182,0.45848876,0.605725883
8031003202,0,0.9902761,0.803426393,0.156170376,1.268087946,0.170693561,0.073438183,0.744455774
8031003203,0,0.305736749,0.074414658,0.216971395,1.333156536,0,0.071420651,0.088653512
8031003204,0,2.434428727,2.370107933,0.691053852,1.157613515,0,0.270803302,0.470602407
8031003205,0,0.113891417,0.277205643,0.161650045,1.324587584,0,0.133026181,0.110082449
8031003300,0,0.221311692,0,0.044873609,1.34194592,0.024523332,0.052753889,0.152793004
8031003401,0,0.216875616,0.105572758,0.06156383,1.304596502,0,0.238837651,0.08384896
8031003402,0,0.556989606,0.046747723,0.136302519,1.330815167,0.01489782,0.041662043,0.129949397
8031003501,1.106389199,0.654636285,0.597506179,0.387144994,0.751392112,5.141246399,1.556550004,0.342735617
8031003502,0,0.291922932,0.406014168,0.118381833,1.065286225,3.558247562,0.556683424,0.161234215
8031003601,0.344660423,0.458845194,0.49635765,0.28944662,1.207383704,0.692046115,0.395571292,0.418860744
8031003602,0,0.38162173,0.123846287,0.180549641,1.234517525,0.670956039,0.314138889,0.491811756
8031003603,0,0.267152676,0,0.037917902,1.278493,0,0.307579043,0.413148873
8031003701,0,2.451452556,0.662967214,1.063159694,1.208298163,0,0.124986129,0.329092582
8031003702,0,0.847679171,0.206320632,0,1.317973036,0.032875678,0.056576963,0.12289943
8031003703,0,0.687368076,0.446137904,0.130080708,1.312252622,0.071088832,0.068815892,0.132875974
8031003801,0,4.259448111,2.373230421,2.403665401,1.044036178,0.039806001,0.35108093,0.148807068
8031003802,0,0.486885709,0.348545298,0.975605376,1.278037428,0.133291577,0.17681861,0.027682488
